filename,person,film_brand,film_type,film_label,split
kodak_e100_2024_nyc_0019.tif,{'yimeng'},kodak,e100,e100,train
kodak_e100_2025_nyc_0015.png,none,kodak,e100,e100,train
ilford_hp5_2023_savannah_0014.jpg,none,ilford,hp5,hp5,train
fuji_velvia50_2025_dc_0014.png,{'yimeng'},fuji,velvia50,other_color,train
kodak_portra160_2021_hefei_0015.png,none,kodak,portra160,portra,train
kodak_e100_2023_charleston_0035.tif,{'yimeng'},kodak,e100,e100,train
kodak_100tmax_2021_hefei_0020.png,none,kodak,100tmax,other_bw,train
ilford_hp5_2025_dc_0015.png,{'yimeng'},ilford,hp5,hp5,train
harman_phoenix200_2024_dc_0017.tif,none,harman,phoenix200,other_color,train
kodak_e100_2024_flushing_0030.tif,none,kodak,e100,e100,train
kodak_5219_2020_shanghai_0025.png,{'longwei'},kodak,5219,other_color,train
kodak_e100_2024_nyc_0003.tif,"{'longwei', 'yimeng'}",kodak,e100,e100,train
kodak_e100_2025_chicago_0002.png,{'parents'},kodak,e100,e100,train
kodak_e100_2024_nyc_0031.tif,none,kodak,e100,e100,train
kodak_400tmax_2023_dc_0027.jpg,none,kodak,400tmax,other_bw,train
kodak_400tmax_2023_dc_0014.jpg,none,kodak,400tmax,other_bw,train
kodak_portra800_2021_wuhan_0005.png,none,kodak,portra800,portra,train
fuji_velvia50_2025_dc_0003.png,{'yimeng'},fuji,velvia50,other_color,train
ilford_hp5_2024_dc_0024.tif,none,ilford,hp5,hp5,train
ilford_hp5_2025_dc_0017.png,{'yimeng'},ilford,hp5,hp5,train
ilford_hp5_2023_savannah_0032.jpg,none,ilford,hp5,hp5,train
kodak_5207_2020_shanghai_0034.png,none,kodak,5207,other_color,train
ilford_hp5_2021_shenzhen-2_0016.png,none,ilford,hp5,hp5,train
cinestill_800t_2023_charleston_0003.jpg,none,cinestill,800t,other_color,train
kodak_5219_2024_nyc_0049.tif,none,kodak,5219,other_color,train
ilford_hp5_2023_charleston_0010.jpg,none,ilford,hp5,hp5,train
cinestill_800t_2023_charleston_0007.jpg,{'yimeng'},cinestill,800t,other_color,train
cinestill_800t_2023_charleston_0023.jpg,none,cinestill,800t,other_color,train
kodak_portra160_2021_shanghai_0005.png,none,kodak,portra160,portra,train
kodak_5219_2024_nyc_0046.tif,none,kodak,5219,other_color,train
kodak_5207_2023_east-coast_0002.tif,none,kodak,5207,other_color,train
kodak_e100_2024_dc-sakura_0005.jpg,none,kodak,e100,e100,train
kodak_portra160_2021_hefei_0007.png,none,kodak,portra160,portra,train
kodak_400tmax_2023_dc_0025.jpg,none,kodak,400tmax,other_bw,train
showa_400_2025_spy-museum_0005.png,{'yimeng'},showa,400,other_color,train
kodak_portra800_2021_wuhan_0029.png,none,kodak,portra800,portra,train
cinestill_800t_2023_charleston_0029.jpg,none,cinestill,800t,other_color,train
cinestill_800t_2023_charleston_0015.jpg,{'yimeng'},cinestill,800t,other_color,train
ilford_delta100_2021_shanghai_0023.png,none,ilford,delta100,other_bw,train
kodak_5219_2020_shanghai_0015.png,none,kodak,5219,other_color,train
ilford_hp5_2021_wuhan_0025.png,none,ilford,hp5,hp5,train
kodak_portra160_2024_dc_0030.jpg,none,kodak,portra160,portra,train
ilford_hp5_2021_nanshan_0019.png,none,ilford,hp5,hp5,train
ilford_hp5_2021_shenzhen-2_0033.png,none,ilford,hp5,hp5,train
ilford_delta_100_2023_dc_0014.jpg,none,ilford,delta,other_bw,train
kodak_portra400_2020_nanjing_0036.png,none,kodak,portra400,portra,train
ilford_delta_100_2023_dc_0006.jpg,{'yimeng'},ilford,delta,other_bw,train
kodak_5219_2020_shanghai_0001.png,{'longwei'},kodak,5219,other_color,train
kodak_5207_2023_east-coast_0011.tif,none,kodak,5207,other_color,train
ilford_hp5_2024_dc-eclipse_0031.jpg,none,ilford,hp5,hp5,train
ilford_hp5_2024_dc_0003.tif,none,ilford,hp5,hp5,train
ilford_delta3200_2020_shanghai_0001.png,none,ilford,delta3200,other_bw,train
ilford_hp5_2023_havana_0026.jpg,none,ilford,hp5,hp5,train
ilford_hp5_2023_savannah_0004.jpg,none,ilford,hp5,hp5,train
fuji_velvia50_2025_dc_0027.png,{'yimeng'},fuji,velvia50,other_color,train
kodak_5222_2020_hefei_0010.png,{'parents'},kodak,5222,other_bw,train
ilford_hp5_2024_dc_0022.tif,none,ilford,hp5,hp5,train
kodak_e100_2024_flushing_0033.tif,{'yimeng'},kodak,e100,e100,train
kodak_portra160_2024_dc_0010.jpg,{'yimeng'},kodak,portra160,portra,train
kodak_5219_2024_nyc_0042.tif,none,kodak,5219,other_color,train
kodak_portra160_2021_shanghai_0030.png,none,kodak,portra160,portra,train
ilford_hp5_2023_charleston_0030.jpg,none,ilford,hp5,hp5,train
kodak_e100_2025_chicago_0009.png,none,kodak,e100,e100,train
kodak_portra800_2021_wuhan_0013.png,none,kodak,portra800,portra,train
kodak_portra160_2024_tidal-basin-1_0018.jpg,none,kodak,portra160,portra,train
showa_400_2025_spy-museum_0026.png,{'yimeng'},showa,400,other_color,train
cinestill_800t_2023_charleston_0013.jpg,none,cinestill,800t,other_color,train
kodak_e100_2024_nyc_0009.tif,{'yimeng'},kodak,e100,e100,train
ilford_delta400_2021_hefei_0010.png,none,ilford,delta400,other_bw,train
kodak_portra160_2021_shanghai_0004.png,none,kodak,portra160,portra,train
ilford_hp5_2021_shenzhen-2_0005.png,none,ilford,hp5,hp5,train
kodak_portra800_2023_dc_0009.jpg,none,kodak,portra800,portra,train
ilford_hp5_2021_wuhan_0027.png,none,ilford,hp5,hp5,train
ilford_hp5_2021_wuhan_0026.png,none,ilford,hp5,hp5,train
ilford_hp5_2021_wuhan_0010.png,none,ilford,hp5,hp5,train
kodak_100tmax_2021_hefei_0019.png,none,kodak,100tmax,other_bw,train
ilford_delta_100_2023_dc_0004.jpg,none,ilford,delta,other_bw,train
kodak_5222_2020_hefei_0027.png,none,kodak,5222,other_bw,train
kodak_portra800_2023_dc_0001.jpg,{'yimeng'},kodak,portra800,portra,train
ilford_hp5_2023_dc-the-whalf_0009.jpg,none,ilford,hp5,hp5,train
kodak_5207_2023_east-coast_0036.tif,none,kodak,5207,other_color,train
kodak_e100_2024_dc-sakura_0004.jpg,{'yimeng'},kodak,e100,e100,train
kodak_portra400_2020_shanghai_0020.png,none,kodak,portra400,portra,train
ilford_hp5_2021_nanshan_0027.png,none,ilford,hp5,hp5,train
ilford_hp5_2023_savannah_0018.jpg,none,ilford,hp5,hp5,train
kodak_5219_2024_nyc_0032.tif,none,kodak,5219,other_color,train
kodak_e100_2025_chicago_0006.png,none,kodak,e100,e100,train
